Project,Type,Milestone,Date,RAG,Director Ask,Director Deadline
Project Kappa,Bi,Deployment,03/05/2024,Amber,Please unblock,20230428.0
Project Beta,Quad,Requirement Gathering,18/09/2023,Amber,Please unblock,20250607.0
Project Delta,Bi,Deployment,27/08/2023,Red,Review,20230814.0
Project Gamma,Quad,Deployment,09/10/2023,Green,Approve,20250903.0
Project Theta,Bi,User Training,19/08/2025,Green,Clarify,20220512.0
Project Eta,Quad,Development,17/04/2023,Amber,Follow up,20231030.0
Project Delta,Quad,User Training,13/03/2025,Green,Approve,20231123.0
Project Zeta,Bi,Documentation,28/01/2025,Amber,Clarify,20220903.0
Project Gamma,Quad,Bug Fixing,13/11/2023,Red,Please unblock,20210613.0
Project Delta,Quad,Deployment,25/03/2024,Green,Approve,20200712.0
Project Theta,Bi,User Training,10/12/2025,Green,Approve,20210228.0
Project Iota,Bi,Performance Tuning,06/01/2024,Green,Clarify,20211225.0
Project Kappa,Bi,Security Audit,16/11/2024,Red,Clarify,20231005.0
Project Iota,Bi,Performance Tuning,22/04/2025,Green,Review,20250701.0
Project Theta,Bi,Design Phase,22/04/2023,Green,Clarify,20210112.0
Project Gamma,Quad,Performance Tuning,08/08/2023,Green,Please unblock,20240225.0
Project Iota,Quad,Design Phase,14/10/2025,Green,Review,20221031.0
Project Alpha,Quad,Deployment,16/02/2024,Red,Clarify,20200815.0
Project Theta,Quad,Bug Fixing,25/02/2023,Red,Clarify,20210308.0
Project Iota,Bi,Performance Tuning,09/02/2023,Green,Clarify,20221101.0
Project Epsilon,Bi,Requirement Gathering,17/07/2023,Green,Review,20240319.0
Project Zeta,Bi,User Training,17/09/2025,Red,Review,20230330.0
Project Delta,Bi,Performance Tuning,14/09/2024,Green,Clarify,20241211.0
Project Delta,Bi,Security Audit,01/12/2023,Red,Approve,20210401.0
Project Delta,Bi,Deployment,11/11/2024,Amber,Follow up,20250914.0
Project Theta,Quad,Documentation,11/08/2025,Green,Approve,20210219.0
Project Kappa,Bi,Documentation,13/09/2025,Green,Review,20231206.0
Project Kappa,Quad,Testing,16/12/2025,Red,Please unblock,20220621.0
Project Eta,Quad,User Training,08/12/2023,Amber,Approve,20210126.0
Project Beta,Bi,User Training,20/05/2023,Amber,Please unblock,20230316.0
Project Iota,Bi,Development,25/04/2023,Green,Approve,20250809.0
Project Kappa,Bi,Security Audit,14/08/2025,Red,Please unblock,20210919.0
Project Beta,Quad,Testing,21/02/2023,Red,Please unblock,20220911.0
Project Alpha,Quad,Testing,09/07/2025,Amber,Review,20251125.0
Project Kappa,Quad,Performance Tuning,02/09/2024,Amber,Please unblock,20220825.0
Project Beta,Quad,Bug Fixing,07/01/2024,Amber,Clarify,20210912.0
Project Beta,Bi,Security Audit,09/08/2023,Green,Follow up,20210410.0
Project Beta,Quad,Testing,09/03/2025,Red,Review,20250127.0
Project Gamma,Quad,Development,21/11/2025,Green,Follow up,20231210.0
Project Theta,Quad,Design Phase,23/09/2025,Red,Approve,20220302.0
Project Eta,Quad,Deployment,24/10/2024,Green,Review,20210711.0
Project Zeta,Bi,Documentation,26/06/2025,Amber,Review,20220125.0
Project Beta,Quad,Deployment,17/09/2024,Red,Clarify,20250729.0
Project Eta,Bi,Documentation,28/12/2024,Amber,Approve,20200210.0
Project Iota,Quad,Requirement Gathering,19/01/2023,Amber,Follow up,20251217.0
Project Eta,Bi,Development,08/11/2025,Red,Review,20230501.0
Project Eta,Bi,Documentation,15/10/2024,Amber,Clarify,20220227.0
Project Alpha,Bi,Testing,02/11/2025,Green,Review,20200125.0
Project Eta,Quad,User Training,21/03/2023,Green,Approve,20230819.0
Project Theta,Bi,Deployment,15/12/2024,Green,Clarify,20220728.0
Project Epsilon,Bi,User Training,05/11/2023,Green,Please unblock,20240803.0
Project Theta,Bi,Security Audit,06/07/2024,Amber,Approve,20230919.0
Project Alpha,Quad,Design Phase,01/07/2023,Amber,Please unblock,20220426.0
Project Delta,Quad,Documentation,09/03/2023,Amber,Clarify,20250316.0
Project Zeta,Quad,Performance Tuning,28/03/2023,Amber,Review,20200212.0
Project Eta,Bi,Security Audit,19/02/2023,Amber,Follow up,20200906.0
Project Alpha,Bi,Documentation,24/03/2025,Green,Follow up,20230910.0
